time app subpolicy target_mem credit_bytes share min_mem min_mem_pct steal_size bytes_in_use need hits accesses shadow_q_hits survivor_items survivor_bytes evicted_items evicted_bytes hit_rate w_hit_rate live_items 
30111612 2 normal 100000000 0 100000000 10000000 10 65536 162483329 0.615448 504 2140 100 1065587 355026097 43108 14273971 0.235514 -1 485962 
30111612 1 normal 200000000 0 200000000 20000000 10 65536 115809245 1.72698 312 2258 0 510220 102418111 0 0 0.138175 -1 571858 
30115338 2 normal 100000000 0 100000000 10000000 10 65536 162506979 0.615358 518 2210 100 1065587 355026097 43108 14273971 0.234389 -1 486024 
30115338 1 normal 200000000 0 200000000 20000000 10 65536 115826383 1.72672 328 2357 0 510220 102418111 0 0 0.13916 -1 571957 
30118832 2 normal 100000000 0 100000000 10000000 10 65536 162523705 0.615295 536 2288 101 1065587 355026097 43108 14273971 0.234266 -1 486087 
30118832 1 normal 200000000 0 200000000 20000000 10 65536 115840255 1.72652 339 2431 0 510220 102418111 0 0 0.139449 -1 572028 
30122471 2 normal 100000000 0 100000000 10000000 10 65536 162550402 0.615194 553 2360 101 1065587 355026097 43108 14273971 0.234322 -1 486150 
30122471 1 normal 200000000 0 200000000 20000000 10 65536 115850707 1.72636 347 2494 0 510220 102418111 0 0 0.139134 -1 572091 
30126022 2 normal 100000000 0 100000000 10000000 10 65536 162564890 0.615139 567 2424 102 1065587 355026097 43108 14273971 0.233911 -1 486202 
30126022 1 normal 200000000 0 200000000 20000000 10 65536 115872858 1.72603 356 2563 0 510220 102418111 0 0 0.1389 -1 572160 
30129638 2 normal 100000000 0 100000000 10000000 10 65536 162588572 0.615049 581 2491 102 1065587 355026097 43108 14273971 0.23324 -1 486260 
30129638 1 normal 200000000 0 200000000 20000000 10 65536 115892561 1.72574 362 2628 0 510220 102418111 0 0 0.137747 -1 572225 
30133211 2 normal 100000000 0 100000000 10000000 10 65536 162611849 0.614961 600 2571 102 1065587 355026097 43108 14273971 0.233372 -1 486330 
30133211 1 normal 200000000 0 200000000 20000000 10 65536 115913139 1.72543 375 2697 0 510220 102418111 0 0 0.139043 -1 572294 
30136805 2 normal 100000000 0 100000000 10000000 10 65536 162627420 0.614902 613 2634 102 1065587 355026097 43108 14273971 0.232726 -1 486386 
30136805 1 normal 200000000 0 200000000 20000000 10 65536 115923874 1.72527 387 2765 0 510220 102418111 0 0 0.139964 -1 572361 
30140436 2 normal 100000000 0 100000000 10000000 10 65536 162656931 0.614791 631 2716 102 1065587 355026097 43108 14273971 0.232327 -1 486454 
30140436 1 normal 200000000 0 200000000 20000000 10 65536 115936086 1.72509 396 2819 0 510220 102418111 0 0 0.140475 -1 572415 
30144007 2 normal 100000000 0 100000000 10000000 10 65536 162677592 0.614713 649 2785 102 1065587 355026097 43108 14273971 0.233034 -1 486510 
30144007 1 normal 200000000 0 200000000 20000000 10 65536 115948604 1.7249 408 2894 0 510220 102418111 0 0 0.140981 -1 572490 
30147617 2 normal 100000000 0 100000000 10000000 10 65536 162703758 0.614614 663 2872 102 1065587 355026097 43108 14273971 0.23085 -1 486584 
30147617 1 normal 200000000 0 200000000 20000000 10 65536 115965192 1.72466 416 2976 0 510220 102418111 0 0 0.139785 -1 572572 
30151215 2 normal 100000000 0 100000000 10000000 10 65536 161822687 0.61796 679 2935 103 1108098 369447195 45540 15071793 0.231346 -1 483876 
30151215 1 normal 200000000 0 200000000 20000000 10 65536 115814180 1.7269 430 3054 0 538090 107888026 0 0 0.140799 -1 571875 
30154831 2 normal 100000000 0 100000000 10000000 10 65536 161849979 0.617856 698 3023 103 1108098 369447195 45540 15071793 0.230896 -1 483952 
30154831 1 normal 200000000 0 200000000 20000000 10 65536 115831917 1.72664 436 3129 0 538090 107888026 0 0 0.139342 -1 571950 
30158404 2 normal 100000000 0 100000000 10000000 10 65536 161874231 0.617764 712 3101 103 1108098 369447195 45540 15071793 0.229603 -1 484019 
30158404 1 normal 200000000 0 200000000 20000000 10 65536 115847184 1.72641 450 3188 0 538090 107888026 0 0 0.141154 -1 572009 
30162008 2 normal 100000000 0 100000000 10000000 10 65536 161894521 0.617686 728 3178 103 1108098 369447195 45540 15071793 0.229075 -1 484085 
30162008 1 normal 200000000 0 200000000 20000000 10 65536 115858752 1.72624 461 3269 0 538090 107888026 0 0 0.141022 -1 572090 
30165615 2 normal 100000000 0 100000000 10000000 10 65536 161912654 0.617617 743 3244 103 1108098 369447195 45540 15071793 0.229038 -1 484142 
30165615 1 normal 200000000 0 200000000 20000000 10 65536 115880994 1.72591 470 3355 0 538090 107888026 0 0 0.140089 -1 572176 
30169218 2 normal 100000000 0 100000000 10000000 10 65536 161940894 0.617509 768 3337 103 1108098 369447195 45540 15071793 0.230147 -1 484219 
30169218 1 normal 200000000 0 200000000 20000000 10 65536 115892167 1.72574 482 3426 0 538090 107888026 0 0 0.140689 -1 572247 
