accesses get set
12845057 9.440483561e-07 1.527193731e-06
13107201 9.536241913e-07 1.510798874e-06
13369345 9.630125458e-07 1.494704377e-06
13631489 9.72556481e-07 1.479050636e-06
13893633 9.816797365e-07 1.463733673e-06
14155777 9.906146438e-07 1.448772925e-06
14417921 9.994470077e-07 1.434049086e-06
14680065 1.008035251e-06 1.419734478e-06
14942209 1.016526674e-06 1.405733543e-06
15204353 1.029392637e-06 1.392791682e-06
15466497 1.042442451e-06 1.38019232e-06
15728641 1.055327733e-06 1.36784242e-06
15990785 1.067823942e-06 1.355665551e-06
16252929 1.089088686e-06 1.34441468e-06
16515073 1.12379837e-06 1.334534055e-06
16777217 1.135029078e-06 1.32305038e-06
17039361 1.145200465e-06 1.311676788e-06
17301505 1.155257601e-06 1.300532832e-06
17563649 1.165411992e-06 1.430823255e-06
17825793 1.17557851e-06 1.580629068e-06
18087937 1.186706764e-06 1.728772923e-06
18350081 1.195096588e-06 1.863830512e-06
18612225 1.202680507e-06 2.002430553e-06
18874369 1.220653322e-06 2.153015984e-06
19136513 1.257786476e-06 2.327836807e-06
19398657 1.26764782e-06 2.462683291e-06
19660801 1.274470825e-06 2.58816925e-06
19922945 1.280552563e-06 2.707637335e-06
20185089 1.285291003e-06 2.833574022e-06
20447233 1.289185597e-06 2.944311093e-06
20709377 1.292967929e-06 3.06562076e-06
20971521 1.296629238e-06 3.175162029e-06
21233665 1.300272576e-06 3.289670779e-06
21495809 1.303831333e-06 3.388113068e-06
21757953 1.307300246e-06 3.497957712e-06
22020097 1.310525667e-06 3.590888432e-06
22282241 1.313669406e-06 3.697631836e-06
22544385 1.316897104e-06 3.789582009e-06
22806529 1.320030124e-06 3.890740712e-06
23068673 1.323123195e-06 3.980474645e-06
23330817 1.326133256e-06 4.076602764e-06
23592961 1.329100884e-06 4.159911474e-06
23855105 1.332089434e-06 4.255744641e-06
24117249 1.334973542e-06 4.330877719e-06
24379393 1.337852191e-06 4.420248626e-06
24641537 1.340655185e-06 4.500124992e-06
24903681 1.343389772e-06 4.582818483e-06
25165825 1.345962763e-06 4.671553135e-06
25427969 1.348491354e-06 4.7452146e-06
25690113 1.351013495e-06 4.834226569e-06
25952257 1.353723507e-06 4.908736104e-06
26214401 1.356337929e-06 4.988482933e-06
26476545 1.358921277e-06 5.058520855e-06
26738689 1.361464594e-06 5.137983397e-06
27000833 1.364008487e-06 5.20699014e-06
27262977 1.366435821e-06 5.272415014e-06
27525121 1.3688296e-06 5.347100576e-06
27787265 1.371077519e-06 5.413287469e-06
28049409 1.373238323e-06 5.486682393e-06
28311553 1.375357522e-06 5.556605551e-06
28573697 1.377327805e-06 5.61359535e-06
28835841 1.379328918e-06 5.681949581e-06
29097985 1.38127583e-06 5.752540348e-06
29360129 1.383098602e-06 5.816590888e-06
29622273 1.384849346e-06 5.892669475e-06
29884417 1.38647732e-06 5.958262828e-06
30146561 1.388096187e-06 6.022994796e-06
30408705 1.389642091e-06 6.096258591e-06
30670849 1.39122795e-06 6.159382127e-06
30932993 1.392727868e-06 6.232850996e-06
31195137 1.394186837e-06 6.29086044e-06
31457281 1.39562823e-06 6.35654974e-06
31719425 1.397020072e-06 6.425033254e-06
31981569 1.398300046e-06 6.49532759e-06
32243713 1.399562433e-06 6.558260382e-06
32505857 1.400754621e-06 6.618793395e-06
32768001 1.402052033e-06 6.67815271e-06
33030145 1.403379501e-06 6.737155672e-06
33292289 1.404733192e-06 6.801092703e-06
33554433 1.406100392e-06 6.856554418e-06
33816577 1.407313266e-06 6.915260729e-06
34078721 1.408655108e-06 6.962255976e-06
34340865 1.409940414e-06 7.018613597e-06
34603009 1.41116096e-06 7.067624988e-06
34865153 1.412356843e-06 7.113004985e-06
35127297 1.413647154e-06 7.165374414e-06
35389441 1.414865028e-06 7.207549455e-06
35651585 1.416056858e-06 7.251698381e-06
35913729 1.417211185e-06 7.297507376e-06
36175873 1.418409458e-06 7.338361104e-06
36438017 1.419632836e-06 7.393479299e-06
36700161 1.420791544e-06 7.438237953e-06
36962305 1.421929867e-06 7.478861545e-06
37224449 1.422989322e-06 7.521343231e-06
37486593 1.424092913e-06 7.561246485e-06
37748737 1.425263432e-06 7.602436171e-06
38010881 1.426357664e-06 7.641614532e-06
38273025 1.427478007e-06 7.680002003e-06
38535169 1.42851522e-06 7.719542938e-06
38797313 1.429570843e-06 7.758322406e-06
39059457 1.430593427e-06 7.796447421e-06
39321601 1.43151268e-06 7.833600972e-06
39583745 1.432495901e-06 7.876869908e-06
39845889 1.433460913e-06 7.912286231e-06
40108033 1.434398477e-06 7.951261383e-06
40370177 1.435322403e-06 7.986947146e-06
40632321 1.436225399e-06 8.023417195e-06
40894465 1.437152838e-06 8.056286322e-06
