time app subpolicy target_mem credit_bytes share min_mem min_mem_pct steal_size bytes_in_use need hits accesses shadow_q_hits survivor_items survivor_bytes evicted_items evicted_bytes hit_rate w_hit_rate live_items misses miss_rate shq_size AET_ht_size 
3000002 1 normal 800000000 0 800000000 400000000 50 65536 282177170 2.8351 149870 1500000 0 0 0 0 0 0.0999133 0.163204 1350130 1350130 0.900087 0 0 
3100002 2 normal 800000000 0 800000000 400000000 50 65536 235503290 3.39698 423191 1550001 0 0 0 0 0 0.273026 -1 1126810 1126810 0.726974 0 0 
3100002 1 normal 800000000 0 800000000 400000000 50 65536 290579179 2.75312 159669 1550000 0 0 0 0 0 0.103012 -1 1390331 1390331 0.896988 0 0 
3200002 2 normal 800000000 0 800000000 400000000 50 65536 240863095 3.32139 447546 1600001 0 0 0 0 0 0.279716 -1 1152455 1152455 0.720284 0 0 
3200002 1 normal 800000000 0 800000000 400000000 50 65536 298921832 2.67628 169752 1600000 0 0 0 0 0 0.106095 -1 1430248 1430248 0.893905 0 0 
3300002 2 normal 800000000 0 800000000 400000000 50 65536 246119445 3.25045 472396 1650001 0 0 0 0 0 0.2863 -1 1177605 1177605 0.7137 0 0 
3300002 1 normal 800000000 0 800000000 400000000 50 65536 307210981 2.60407 180091 1650000 0 0 0 0 0 0.109146 -1 1469909 1469909 0.890854 0 0 
3400002 2 normal 800000000 0 800000000 400000000 50 65536 251283626 3.18365 497687 1700001 0 0 0 0 0 0.292757 -1 1202314 1202314 0.707243 0 0 
3400002 1 normal 800000000 0 800000000 400000000 50 65536 315445790 2.53609 190690 1700000 0 0 0 0 0 0.112171 -1 1509310 1509310 0.887829 0 0 
3500002 2 normal 800000000 0 800000000 400000000 50 65536 256348741 3.12075 523452 1750001 0 0 0 0 0 0.299115 -1 1226549 1226549 0.700885 0 0 
3500002 1 normal 800000000 0 800000000 400000000 50 65536 323584459 2.47231 201749 1750000 0 0 0 0 0 0.115285 -1 1548251 1548251 0.884715 0 0 
3600002 2 normal 800000000 0 800000000 400000000 50 65536 261303295 3.06158 549746 1800001 0 0 0 0 0 0.305414 -1 1250255 1250255 0.694586 0 0 
3600002 1 normal 800000000 0 800000000 400000000 50 65536 331710170 2.41174 212870 1800000 0 0 0 0 0 0.118261 -1 1587130 1587130 0.881739 0 0 
3700002 2 normal 800000000 0 800000000 400000000 50 65536 266163172 3.00568 576493 1850001 0 0 0 0 0 0.311618 -1 1273508 1273508 0.688382 0 0 
3700002 1 normal 800000000 0 800000000 400000000 50 65536 339767329 2.35455 224319 1850000 0 0 0 0 0 0.121254 -1 1625681 1625681 0.878746 0 0 
3800002 2 normal 800000000 0 800000000 400000000 50 65536 270866090 2.95349 603991 1900001 0 0 0 0 0 0.31789 -1 1296010 1296010 0.68211 0 0 
3800002 1 normal 800000000 0 800000000 400000000 50 65536 347759071 2.30044 236081 1900000 0 0 0 0 0 0.124253 -1 1663919 1663919 0.875747 0 0 
3900002 2 normal 800000000 0 800000000 400000000 50 65536 275523237 2.90357 631708 1950001 0 0 0 0 0 0.323953 -1 1318293 1318293 0.676047 0 0 
3900002 1 normal 800000000 0 800000000 400000000 50 65536 355677245 2.24923 248195 1950000 0 0 0 0 0 0.127279 -1 1701805 1701805 0.872721 0 0 
4000002 2 normal 800000000 0 800000000 400000000 50 65536 280094903 2.85617 659834 2000001 0 0 0 0 0 0.329917 0.521024 1340167 1340167 0.670083 0 0 
4000002 1 normal 800000000 0 800000000 400000000 50 65536 363550902 2.20052 260522 2000000 0 0 0 0 0 0.130261 0.221304 1739478 1739478 0.869739 0 0 
4100002 2 normal 800000000 0 800000000 400000000 50 65536 284609303 2.81087 688234 2050001 0 0 0 0 0 0.335724 -1 1361767 1361767 0.664276 0 0 
4100002 1 normal 800000000 0 800000000 400000000 50 65536 371365412 2.15421 273132 2050000 0 0 0 0 0 0.133235 -1 1776868 1776868 0.866765 0 0 
4200002 2 normal 800000000 0 800000000 400000000 50 65536 289042193 2.76776 717024 2100001 0 0 0 0 0 0.34144 -1 1382977 1382977 0.65856 0 0 
4200002 1 normal 800000000 0 800000000 400000000 50 65536 379115341 2.11018 286051 2100000 0 0 0 0 0 0.136215 -1 1813949 1813949 0.863785 0 0 
4300002 2 normal 800000000 0 800000000 400000000 50 65536 293384377 2.7268 746248 2150001 0 0 0 0 0 0.347092 -1 1403753 1403753 0.652908 0 0 
4300002 1 normal 800000000 0 800000000 400000000 50 65536 386797136 2.06827 299296 2150000 0 0 0 0 0 0.139207 -1 1850704 1850704 0.860793 0 0 
4400002 2 normal 800000000 0 800000000 400000000 50 65536 297621852 2.68797 775973 2200001 0 0 0 0 0 0.352715 -1 1424028 1424028 0.647285 0 0 
4400002 1 normal 800000000 0 800000000 400000000 50 65536 394469944 2.02804 312584 2200000 0 0 0 0 0 0.142084 -1 1887416 1887416 0.857916 0 0 
4500002 2 normal 800000000 0 800000000 400000000 50 65536 301790148 2.65085 806029 2250001 0 0 0 0 0 0.358235 -1 1443972 1443972 0.641765 0 0 
4500002 1 normal 800000000 0 800000000 400000000 50 65536 402099071 1.98956 326081 2250000 0 0 0 0 0 0.144925 -1 1923919 1923919 0.855075 0 0 
4600002 2 normal 800000000 0 800000000 400000000 50 65536 305893236 2.61529 836397 2300001 0 0 0 0 0 0.363651 -1 1463604 1463604 0.636349 0 0 
4600002 1 normal 800000000 0 800000000 400000000 50 65536 409646270 1.9529 339970 2300000 0 0 0 0 0 0.147813 -1 1960030 1960030 0.852187 0 0 
4700002 2 normal 800000000 0 800000000 400000000 50 65536 309957450 2.581 866951 2350001 0 0 0 0 0 0.368915 -1 1483050 1483050 0.631085 0 0 
4700002 1 normal 800000000 0 800000000 400000000 50 65536 417139129 1.91783 354119 2350000 0 0 0 0 0 0.150689 -1 1995881 1995881 0.849311 0 0 
4800002 2 normal 800000000 0 800000000 400000000 50 65536 313887486 2.54868 898147 2400001 0 0 0 0 0 0.374228 -1 1501854 1501854 0.625772 0 0 
4800002 1 normal 800000000 0 800000000 400000000 50 65536 424560092 1.8843 368612 2400000 0 0 0 0 0 0.153588 -1 2031388 2031388 0.846412 0 0 
4900002 2 normal 800000000 0 800000000 400000000 50 65536 317766317 2.51757 929588 2450001 0 0 0 0 0 0.379424 -1 1520413 1520413 0.620576 0 0 
